Gstk1	NM_029555
St13	NM_133726
Nadk	NM_001159637
Itih3	NM_008407
Nat8f1	NM_023160
Eci2	NM_001110331
H2-K1	NM_001001892
Kynu	NM_001289593
Gjb1	NM_001302496
Ndufs7	NM_001364694
Dnajb9	NM_013760
Mt1	NM_013602
Krtcap2	NM_001310625
Selenop	NM_001042613
Sdc4	NM_011521
Idh3b	NM_001362752
Afmid	NM_001363158
Fdps	NM_001253751
Nudt7	NM_001290180
Slc25a1	NM_153150
Grhpr	NM_001312880
Atp5j	NM_001302213
Ndufv2	NM_001278415
Rps3	NM_012052
Cyp3a13	NM_007819
Retsat	NM_026159
Etnk2	NM_175443
Atp6v1e1	NM_007510
Mtss1	NM_001146180
Tpi1	NM_009415
Aadat	NM_011834
Acsf2	NM_153807
Aox3	NM_023617
Egfr	NM_007912
Cyc1	NM_025567
Acss2	NM_019811
Psmd8	NM_026545
Pipox	NM_008952
Hspa8	NM_001364480
Acat1	NM_144784
Ftl1	NM_010240
Slco1a1	NM_013797
Kyat1	NM_001356474
Cox5a	NM_007747
Slc22a18	NM_001042760
Pcbp1	NM_011865
Ubxn1	NM_001362044
Serpinf1	NM_011340
Shmt2	NM_001252316
Tmem176a	NM_001098271
Scd1	NM_009127
Gstt1	NM_001358778
Mpc2	NM_027430
Hdlbp	NM_001301364
Rab5c	NM_001305003
Uqcrh	NM_025641
Amdhd1	NM_027908
Atp1a1	NM_144900
Mettl7a1	NM_027334
Lpin1	NM_001130412
Iyd	NM_027391
Ndufa10	NM_024197
Ddah1	NM_026993
Serpinc1	NM_001379302
Dgat2	NM_026384
Fetub	NM_001083904
Ly6e	NM_001164036
Cyp4f14	NM_001204333
Cyp2c70	NM_145499
Gstm1	NM_001374678
Aco1	NM_007386
Rpl7a	NM_013721
Slc25a39	NM_026542
Calm1	NM_001313934
Apon	NM_133996
Qprt	NM_133686
Ugt1a10	NM_201641
Mthfd1	NM_138745
Cyp2e1	NM_021282
Ppib	NM_011149
Ndfip1	NM_001355749
Gnb2	NM_010312
Cp	NM_001042611
Hnf4a	NM_001312906
Vdac1	NM_001362693
Txn2	NM_019913
Park7	NM_020569
Ldhd	NM_027570
Psmb7	NM_011187
Gm4952	NM_001013762
Gcdh	NM_001044744
Slc29a1	NM_001199113
Lpin2	NM_001164885
St3gal5	NM_001035228
Eif5	NM_173363
Nabp2	NM_001358972
Uroc1	NM_001347329
Ppp2r5a	NM_144880
Asgr1	NM_001291131
Atp5k	NM_007507
Lifr	NM_001113386
Mia2	NM_001165253
Plpp3	NM_080555
Serpina3m	NM_001409934
Rps14	NM_020600
Pccb	NM_001311149
H6pd	NM_001291004
Atox1	NM_009720
Tprkb	NM_001170488
Errfi1	NM_001356323
Sema4g	NM_001413627
Bhlhe40	NM_011498
F13b	NM_031164
Glul	NM_008131
Atp5g3	NM_001301721
Aldh6a1	NM_001313967
Fam162a	NM_027342
Abcc2	NM_013806
Prelid1	NM_025596
Cd302	NM_001290660
Pmpcb	NM_028431
Gpld1	NM_008156
Sult1a1	NM_001403131
Mettl7b	NM_027853
Tmprss6	NM_001355601
Echs1	NM_053119
Bhmt2	NM_022884
Arf4	NM_007479
Adk	NM_001243041
Ldha	NM_001136069
Gls2	NM_001033264
Cope	NM_021538
Crot	NM_023733
Atp5a1	NM_007505
Ndufa13	NM_001382215
Dcaf11	NM_001199009
Acsl1	NM_001302163
Vps25	NM_001284411
Igfals	NM_001364895
Cfhr1	NM_015780
Higd2a	NM_025933
Cox6b1	NM_025628
Serpind1	NM_001331047
Ei24	NM_001199494
Klf15	NM_001355668
Kmo	NM_133809
Cebpb	NM_001287738
Creb3l3	NM_001382818
Ppp2ca	NM_019411
Slc10a1	NM_001177561
Iscu	NM_001363317
Hsd11b1	NM_001044751
Lsr	NM_001164184
Eif1	NM_011508
Dpys	NM_001164466
Gjb2	NM_008125
Rpl35	NM_025592
Slc37a4	NM_001293630
Fkbp8	NM_001111066
Upp2	NM_001289659
Proc	NM_001042767
Gnmt	NM_001364890
Nrn1	NM_001374754
Abhd14b	NM_029631
Ctsb	NM_007798
Rpl14	NM_025974
Cyp27a1	NM_024264
Ehhadh	NM_023737
Hibadh	NM_145567
Acsm1	NM_054094
Sqstm1	NM_001290769
Cyp3a11	NM_007818
Asl	NM_133768
Tst	NM_009437
Gna12	NM_010302
Aass	NM_013930
Hadh	NM_008212
Cyb5r3	NM_029787
Psme1	NM_011189
Arpc2	NM_001357387
Anapc13	NM_181394
Akr1c19	NM_001013785
Dhrs3	NM_001172424
Hsbp1	NM_024219
Taldo1	NM_011528
Slc22a1	NM_009202
Acat3	NM_001410277
Dynlrb1	NM_001291108
Cnbp	NM_001109745
Reep6	NM_001204931
Insig1	NM_153526
Nedd4	NM_001039251
Tmbim6	NM_001171034
Ndufb8	NM_001347447
Aldh1l1	NM_001356412
Apob	NM_009693
Hspa5	NM_001163434
Slc7a2	NM_001044740
H2-Q10	NM_010391
Orm1	NM_008768
Acadl	NM_007381
Serpina1e	NM_009247
Mbl1	NM_010775
Acsm5	NM_178758
Dhrs1	NM_026819
Dstn	NM_019771
Pck1	NM_011044
Acads	NM_007383
Arrdc3	NM_001042591
Gpt	NM_182805
Rps11	NM_013725
Amacr	NM_008537
BC005537	NM_024473
Gclc	NM_010295
Ninj1	NM_013610
Kng1	NM_001102411
Txnip	NM_001009935
Plin2	NM_001403711
F5	NM_007976
Akr7a5	NM_025337
Abcb4	NM_008830
Slc25a13	NM_001177572
Fasn	NM_007988
Grina	NM_023168
Akr1c6	NM_030611
Dbp	NM_001412312
Prkcsh	NM_001293650
Mdh1	NM_001316675
Grn	NM_008175
Prdx6	NM_001303408
Khk	NM_001310524
Mgst1	NM_001347489
Selenbp2	NM_019414
Slc38a3	NM_001199217
Ctsl	NM_009984
Clec2d	NM_053109
Man2a1	NM_008549
Esd	NM_001285423
Isoc2a	NM_001101598
Eef2	NM_007907
Ces2e	NM_001163756
Gsto1	NM_010362
Agxt2	NM_001031851
Cbr1	NM_007620
Uox	NM_009474
Spint2	NM_001082548
Ctsd	NM_009983
Pttg1ip	NM_145925
Cfl1	NM_007687
Ghr	NM_001048147
Apom	NM_018816
Oat	NM_016978
Gabarapl1	NM_020590
Etfdh	NM_025794
Keg1	NM_029550
Dad1	NM_001113358
Aldh2	NM_001308450
Cyp3a25	NM_019792
Canx	NM_001110499
Rab7	NM_001293652
Wbp2	NM_001347642
Hsd17b10	NM_016763
Crp	NM_007768
S100a10	NM_009112
Sord	NM_146126
Acbd5	NM_001102436
Rpn2	NM_001355163
Cox6c	NM_053071
Sec61a1	NM_016906
Chchd10	NM_175329
Ssr3	NM_026155
Ndufa3	NM_025348
Cpt1a	NM_013495
Tmem256	NM_026982
Elovl5	NM_134255
Aldoa	NM_001177307
Papss2	NM_001201470
Gstz1	NM_001252555
Hagh	NM_001159626
Ugdh	NM_009466
Atp5e	NM_025983
Apoh	NM_013475
Dhrs4	NM_001037938
Cnn3	NM_028044
C8a	NM_001290645
Dhdh	NM_027903
Prdx5	NM_001358444
Cps1	NM_001080809
Ddrgk1	NM_029832
Tmem176b	NM_001164207
Gabarap	NM_019749
Fh1	NM_010209
Bcap31	NM_001313698
Herpud1	NM_001357205
Ak2	NM_001033966
Capns1	NM_009795
Arf1	NM_001130408
Arf5	NM_007480
Tmem205	NM_001253867
Dlst	NM_030225
Dhcr24	NM_053272
Eci1	NM_010023
Sigmar1	NM_001286538
Por	NM_008898
Cox7a2	NM_009945
Gdi2	NM_008112
Pcbd1	NM_025273
Hal	NM_010401
Ttr	NM_013697
Nat8f2	NM_053096
Acy3	NM_001302479
Tob1	NM_009427
Mettl26	NM_026686
Pzp	NM_007376
Acox2	NM_001161667
Alas1	NM_001291835
Cfh	NM_009888
Pcbp2	NM_001103165
Slc2a2	NM_031197
Cox6a1	NM_007748
Hint1	NM_008248
Atp5b	NM_016774
Trp53inp2	NM_178111
Rpl32	NM_172086
Tat	NM_146214
Saa4	NM_011316
Tfr2	NM_001289507
Edf1	NM_021519
Rps2	NM_008503
Serpina3n	NM_009252
Vamp8	NM_016794
Sephs2	NM_009266
Slc25a47	NM_001012310
Rrbp1	NM_024281
Ndufv3	NM_001083891
Krt8	NM_031170
Acox1	NM_001271898
Hs6st1	NM_015818
Xylb	NM_001033209
Ssr2	NM_001356316
Rps15	NM_001310726
Gclm	NM_008129
Fn1	NM_001276408
Abca6	NM_001166556
Eif4g1	NM_001005331
C4b	NM_009780
Bckdha	NM_001403510
Adh5	NM_001288578
Phyh	NM_010726
Cpn2	NM_027904
Aldh1a7	NM_011921
Rbp4	NM_001159487
Rcl1	NM_021525
Ugt1a5	NM_201643
Trap1	NM_026508
Slc16a2	NM_009197
Paics	NM_001356971
Afm	NM_145146
Pdk2	NM_001361915
Pabpc1	NM_008774
Ghitm	NM_001199122
Rac1	NM_001347530
Aldh7a1	NM_001127338
Hsd17b12	NM_019657
Mat1a	NM_133653
Zfp36l1	NM_007564
Tmem258	NM_001163431
Ndufb10	NM_026684
Ppa1	NM_026438
Rnf10	NM_001302448
Hsp90ab1	NM_008302
Hnrnpab	NM_001048061
Apoc1	NM_001110009
Adi1	NM_134052
Lamp2	NM_001017959
Lgals9	NM_001159301
Serping1	NM_009776
C8g	NM_001271777
Zdhhc9	NM_172465
Mttp	NM_001163457
Cbs	NM_001271353
Adh1	NM_007409
Iigp1	NM_001146275
Sdhb	NM_001355515
Agpat2	NM_026212
Ndufb11	NM_001358624
Fth1	NM_010239
Nr1d1	NM_145434
Mbl2	NM_001365058
Hhex	NM_008245
Hpgd	NM_008278
Id2	NM_010496
Calr	NM_007591
Apoe	NM_001305819
Ndufs8	NM_001271443
Mrpl12	NM_027204
Fga	NM_001111048
Prodh2	NM_019546
Decr2	NM_001411308
Ambp	NM_007443
Psmb6	NM_008946
Dbi	NM_001037999
Surf4	NM_011512
Aldh1a1	NM_001361503
Jun	NM_010591
Idh1	NM_001111320
Shmt1	NM_009171
Ttc36	NM_138951
Gnas	NM_001077507
Rps18	NM_011296
Ndufb9	NM_001364808
Ass1	NM_007494
Rps27l	NM_001311101
Slc25a5	NM_007451
Tecr	NM_027179
Phb2	NM_007531
Ccs	NM_016892
Rnf181	NM_001331167
Ndufa4	NM_010886
Ifitm2	NM_030694
Agt	NM_001416312
Rab1a	NM_008996
Csnk2b	NM_001303445
Cyp2a5	NM_007812
AI182371	NM_001243102
Ctsz	NM_022325
Abcd3	NM_001355756
Pfn1	NM_011072
Uqcr11	NM_025650
Rxra	NM_001290481
Hsd17b13	NM_001163486
Sardh	NM_138665
Lrg1	NM_029796
Cyp2c29	NM_001410153
Acad11	NM_175324
Aldh3a2	NM_001331114
Klf9	NM_010638
Hebp1	NM_013546
Fgl1	NM_145594
Cideb	NM_009894
Slc25a10	NM_013770
Tcp1	NM_001290712
Kyat3	NM_001293560
Vkorc1	NM_178600
Rapgef4	NM_001204165
Pygl	NM_133198
Ubb	NM_001313984
Mrpl52	NM_026851
Msra	NM_001253712
Cst3	NM_009976
Akr1c14	NM_134072
Msmo1	NM_025436
Lrrc61	NM_001110160
Gstm6	NM_001379504
Echdc2	NM_001254754
Pdcd4	NM_001168491
Pomp	NM_025624
Slc27a2	NM_011978
Otc	NM_001411675
Angptl8	NM_001080940
Angptl3	NM_013913
Upb1	NM_133995
Amfr	NM_001414270
Fech	NM_001348055
Mlxipl	NM_001359237
Blvrb	NM_001290525
Uba1	NM_001136085
Mrpl14	NM_026732
Cyb5b	NM_025558
Selenof	NM_053102
Apoa5	NM_001348095
Serinc1	NM_019760
Acsm3	NM_016870
Aspg	NM_001081169
Acadm	NM_007382
Pcyt2	NM_001347615
Nit1	NM_001242580
Hsd3b3	NM_001012306
Fgb	NM_181849
Rps5	NM_001417226
Thrsp	NM_009381
Ttc39c	NM_028341
Etnppl	NM_001163587
Rpl8	NM_012053
Gns	NM_001364695
Nipsnap1	NM_008698
Hgd	NM_013547
Pnpo	NM_134021
Fads2	NM_019699
Ugt2b1	NM_152811
Tkfc	NM_145496
Cox8a	NM_007750
S100a1	NM_011309
Suclg1	NM_019879
Eif4ebp1	NM_007918
Pdia6	NM_027959
Dio1	NM_007860
Nop9	NM_026403
Ndufa6	NM_025987
Sdha	NM_023281
Lypla1	NM_001355712
Eif3k	NM_001285942
Hc	NM_010406
Ndufa8	NM_026703
Fah	NM_010176
Serpinf2	NM_008878
Itih2	NM_010582
Slc25a3	NM_133668
Ssr4	NM_001166480
Adipor2	NM_001355692
Uqcrc1	NM_025407
Abcb11	NM_001363492
Arg1	NM_007482
Ftcd	NM_080845
Pgm2	NM_001356964
Kdelr1	NM_133950
Eif4ebp2	NM_010124
Mup21	NM_001009550
Ugt1a2	NM_013701
Ephx1	NM_001312918
Cers2	NM_001320492
Gpi1	NM_008155
Slc26a1	NM_001310691
Qdpr	NM_024236
Pemt	NM_001290011
Atp5h	NM_027862
Lman2	NM_025828
Atp5o	NM_138597
Lcat	NM_008490
Ybx1	NM_011732
Pcx	NM_001162946
Chp1	NM_019769
Ptms	NM_026988
Vtn	NM_011707
Rnase4	NM_021472
Ndrg2	NM_001145959
Amy1	NM_001110505
Furin	NM_001081454
Junb	NM_008416
Sec14l2	NM_144520
Uqcrq	NM_001326614
Rida	NM_008287
Apoa1	NM_009692
Chdh	NM_001136240
Grcc10	NM_013535
Ier2	NM_010499
Clta	NM_001080384
Eif5a	NM_001166589
Qsox1	NM_001024945
Atp5d	NM_001347092
Cyp2j5	NM_010007
Prdx1	NM_011034
Aldh4a1	NM_175438
Gsta4	NM_010357
Ugt1a9	NM_201644
Creg1	NM_011804
Itih4	NM_001159299
Msrb1	NM_001346668
Sod1	NM_011434
Hacl1	NM_019975
Acot13	NM_025790
Bnip3	NM_009760
Cyp2f2	NM_007817
Dusp1	NM_013642
Ece1	NM_001369177
Hgfac	NM_019447
Masp2	NM_001003893
Pink1	NM_026880
Rab14	NM_026697
Etfb	NM_026695
Wfdc21	NM_183249
Fcgrt	NM_001357117
Ndufa7	NM_023202
Cald1	NM_001347100
Slc25a23	NM_001379067
Rpl7	NM_011291
Ugt2a3	NM_028094
Mup3	NM_001039544
Rps26	NM_013765
Elovl2	NM_001311121
Ddt	NM_010027
Aldob	NM_144903
Egr1	NM_007913
H3f3b	NM_008211
Rpl13a	NM_009438
Gsta3	NM_001077353
Lipc	NM_001324472
Rnasek	NM_173742
Phlda1	NM_009344
H1f0	NM_008197
Mst1	NM_008243
Hsd3b7	NM_001040684
Serpina11	NM_001166350
Pon1	NM_001410259
Slc17a2	NM_001377113
Mlf2	NM_001170341
Krt18	NM_010664
Tmem259	NM_001003949
Gcsh	NM_026572
Gchfr	NM_177157
Fmo5	NM_001161763
Uqcrb	NM_026219
Glud1	NM_008133
Calm2	NM_001355703
Sdhc	NM_025321
Tmem14c	NM_001360770
Acp5	NM_001102404
Uqcrfs1	NM_025710
Aco2	NM_080633
Fads1	NM_146094
Hamp	NM_032541
Aars	NM_146217
Rpl4	NM_024212
Etfa	NM_145615
Hsd17b2	NM_008290
Dctn2	NM_001190453
Stard10	NM_001360460
Pglyrp2	NM_001271476
Ephx2	NM_001271402
Cpn1	NM_030703
Cfi	NM_001329552
Bhmt	NM_016668
Jund	NM_001286944
Psmb4	NM_008945
Ubc	NM_019639
Rab1b	NM_029576
Nucb1	NM_001163662
Hpn	NM_001110252
Lonp2	NM_001168591
Angptl4	NM_020581
Bola3	NM_001363772
Ugt2b34	NM_153598
Sds	NM_145565
