Symbol	Ensembl_ID	Genename	Refseq_ID
CFI	ENSG00000205403	complement factor I	NM_000204
INS	ENSG00000254647	insulin	NM_000207
ANOS1	ENSG00000011201	anosmin 1	NM_000216
LAMA3	ENSG00000053747	laminin subunit alpha 3	NM_000227
LAMB3	ENSG00000196878	laminin subunit beta 3	NM_000228
LCAT	ENSG00000213398	lecithin-cholesterol acyltransferase	NM_000229
LEP	ENSG00000174697	leptin	NM_000230
LIPC	ENSG00000166035	"lipase C, hepatic type"	NM_000236
LPL	ENSG00000175445	lipoprotein lipase	NM_000237
LYZ	ENSG00000090382	lysozyme	NM_000239
MBL2	ENSG00000165471	mannose binding lectin 2	NM_000242
MYOC	ENSG00000034971	myocilin	NM_000261
NDP	ENSG00000124479	norrin cystine knot growth factor NDP	NM_000266
SERPINA1	ENSG00000197249	serpin family A member 1	NM_000295
PLA2G2A	ENSG00000188257	phospholipase A2 group IIA	NM_000300
PLG	ENSG00000122194	plasminogen	NM_000301
PON2	ENSG00000105854	paraoxonase 2	NM_000305
PROC	ENSG00000115718	"protein C, inactivator of coagulation factors Va and VIIIa"	NM_000312
PROS1	ENSG00000184500	protein S	NM_000313
PTH	ENSG00000152266	parathyroid hormone	NM_000315
RS1	ENSG00000102104	retinoschisin 1	NM_000330
SAA1	ENSG00000173432	serum amyloid A1	NM_000331
SERPINA7	ENSG00000123561	serpin family A member 7	NM_000354
TCN2	ENSG00000185339	transcobalamin 2	NM_000355
TGFBI	ENSG00000120708	transforming growth factor beta induced	NM_000358
TIMP3	ENSG00000100234	TIMP metallopeptidase inhibitor 3	NM_000362
TTR	ENSG00000118271	transthyretin	NM_000371
APOB	ENSG00000084674	apolipoprotein B	NM_000384
COL5A2	ENSG00000204262	collagen type V alpha 2 chain	NM_000393
HRG	ENSG00000113905	histidine rich glycoprotein	NM_000412
IAPP	ENSG00000121351	islet amyloid polypeptide	NM_000415
KRT10	ENSG00000186395	keratin 10	NM_000421
LAMA2	ENSG00000196569	laminin subunit alpha 2	NM_000426
LTBP2	ENSG00000119681	latent transforming growth factor beta binding protein 2	NM_000428
PCSK1	ENSG00000175426	proprotein convertase subtilisin/kexin type 1	NM_000439
PON1	ENSG00000005421	paraoxonase 1	NM_000446
THPO	ENSG00000090534	thrombopoietin	NM_000460
ALB	ENSG00000163631	albumin	NM_000477
AMH	ENSG00000104899	anti-Mullerian hormone	NM_000479
APOA4	ENSG00000110244	apolipoprotein A4	NM_000482
APOC2	ENSG00000234906	apolipoprotein C2	NM_000483
SERPINC1	ENSG00000117601	serpin family C member 1	NM_000488
AVP	ENSG00000101200	arginine vasopressin	NM_000490
COL10A1	ENSG00000123500	collagen type X alpha 1 chain	NM_000493
COL4A5	ENSG00000188153	collagen type IV alpha 5 chain	NM_000495
ELN	ENSG00000049540	elastin	NM_000501
F10	ENSG00000126218	coagulation factor X	NM_000504
F12	ENSG00000131187	coagulation factor XII	NM_000505
F2	ENSG00000180210	"coagulation factor II, thrombin"	NM_000506
FGA	ENSG00000171560	fibrinogen alpha chain	NM_000508
FGG	ENSG00000171557	fibrinogen gamma chain	NM_000509
FSHB	ENSG00000131808	follicle stimulating hormone subunit beta	NM_000510
GDNF	ENSG00000168621	glial cell derived neurotrophic factor	NM_000514
GH1	ENSG00000259384	growth hormone 1	NM_000515
REN	ENSG00000143839	renin	NM_000537
SFTPB	ENSG00000168878	surfactant protein B	NM_000542
SMPD1	ENSG00000166311	sphingomyelin phosphodiesterase 1	NM_000543
TSHB	ENSG00000134200	thyroid stimulating hormone subunit beta	NM_000549
VWF	ENSG00000110799	von Willebrand factor	NM_000552
GDF5	ENSG00000125965	growth differentiation factor 5	NM_000557
C8A	ENSG00000157131	complement C8 alpha chain	NM_000562
CRP	ENSG00000132693	C-reactive protein	NM_000567
IL10	ENSG00000136634	interleukin 10	NM_000572
IL1A	ENSG00000115008	interleukin 1 alpha	NM_000575
IL1B	ENSG00000125538	interleukin 1 beta	NM_000576
IL1RN	ENSG00000136689	interleukin 1 receptor antagonist	NM_000577
GPX1	ENSG00000233276	glutathione peroxidase 1	NM_000581
SPP1	ENSG00000118785	secreted phosphoprotein 1	NM_000582
GC	ENSG00000145321	GC vitamin D binding protein	NM_000583
CXCL8	ENSG00000169429	C-X-C motif chemokine ligand 8	NM_000584
IL15	ENSG00000164136	interleukin 15	NM_000585
IL2	ENSG00000109471	interleukin 2	NM_000586
C7	ENSG00000112936	complement C7	NM_000587
IL3	ENSG00000164399	interleukin 3	NM_000588
IL4	ENSG00000113520	interleukin 4	NM_000589
IL9	ENSG00000145839	interleukin 9	NM_000590
CD14	ENSG00000170458	CD14 molecule	NM_000591
TNF	ENSG00000232810	tumor necrosis factor	NM_000594
LTA	ENSG00000226979	lymphotoxin alpha	NM_000595
IGFBP1	ENSG00000146678	insulin like growth factor binding protein 1	NM_000596
IGFBP2	ENSG00000115457	insulin like growth factor binding protein 2	NM_000597
IGFBP3	ENSG00000146674	insulin like growth factor binding protein 3	NM_000598
IGFBP5	ENSG00000115461	insulin like growth factor binding protein 5	NM_000599
HGF	ENSG00000019991	hepatocyte growth factor	NM_000601
SERPINE1	ENSG00000106366	serpin family E member 1	NM_000602
IFNA2	ENSG00000188379	interferon alpha 2	NM_000605
C8G	ENSG00000176919	complement C8 gamma chain	NM_000606
ORM1	ENSG00000229314	orosomucoid 1	NM_000607
ORM2	ENSG00000228278	orosomucoid 2	NM_000608
CXCL12	ENSG00000107562	C-X-C motif chemokine ligand 12	NM_000609
HPX	ENSG00000110169	hemopexin	NM_000613
IGF1	ENSG00000017427	insulin like growth factor 1	NM_000618
IFNG	ENSG00000111537	interferon gamma	NM_000619
SERPINA5	ENSG00000188488	serpin family A member 5	NM_000624
LTBP1	ENSG00000049323	latent transforming growth factor beta binding protein 1	NM_000627
VTN	ENSG00000109072	vitronectin	NM_000638
IL11	ENSG00000095752	interleukin 11	NM_000641
TGFB1	ENSG00000105329	transforming growth factor beta 1	NM_000660
AMY2A	ENSG00000243480	amylase alpha 2A	NM_000699
ANXA1	ENSG00000135046	annexin A1	NM_000700
C4BPA	ENSG00000123838	complement component 4 binding protein alpha	NM_000715
C4BPB	ENSG00000123843	complement component 4 binding protein beta	NM_000716
CALCB	ENSG00000175868	calcitonin related polypeptide beta	NM_000728
CCK	ENSG00000187094	cholecystokinin	NM_000729
CGA	ENSG00000135346	"glycoprotein hormones, alpha polypeptide"	NM_000735
CGB3	ENSG00000104827	chorionic gonadotropin subunit beta 3	NM_000737
CRH	ENSG00000147571	corticotropin releasing hormone	NM_000756
CSF2	ENSG00000164400	colony stimulating factor 2	NM_000758
CSF3	ENSG00000108342	colony stimulating factor 3	NM_000759
EPO	ENSG00000130427	erythropoietin	NM_000799
FGF1	ENSG00000113578	fibroblast growth factor 1	NM_000800
FOLR3	ENSG00000110203	folate receptor gamma	NM_000804
GAST	ENSG00000184502	gastrin	NM_000805
GAS6	ENSG00000183087	growth arrest specific 6	NM_000820
GNRH1	ENSG00000147437	gonadotropin releasing hormone 1	NM_000825
IL5	ENSG00000113525	interleukin 5	NM_000879
IL7	ENSG00000104432	interleukin 7	NM_000880
KLKB1	ENSG00000164344	kallikrein B1	NM_000892
KNG1	ENSG00000113889	kininogen 1	NM_000893
LHB	ENSG00000104826	luteinizing hormone subunit beta	NM_000894
MGP	ENSG00000111341	matrix Gla protein	NM_000900
NPY	ENSG00000122585	neuropeptide Y	NM_000905
OXT	ENSG00000101405	oxytocin/neurophysin I prepropeptide	NM_000915
PLA2G1B	ENSG00000170890	phospholipase A2 group IB	NM_000928
PLA2G5	ENSG00000127472	phospholipase A2 group V	NM_000929
PLAT	ENSG00000104368	"plasminogen activator, tissue type"	NM_000930
SERPINF2	ENSG00000167711	serpin family F member 2	NM_000934
PNLIP	ENSG00000175535	pancreatic lipase	NM_000936
POMC	ENSG00000115138	proopiomelanocortin	NM_000939
PON3	ENSG00000105852	paraoxonase 3	NM_000940
PPIB	ENSG00000166794	peptidylprolyl isomerase B	NM_000942
PRL	ENSG00000172179	prolactin	NM_000948
PTGDS	ENSG00000107317	prostaglandin D2 synthase	NM_000954
PRSS58	ENSG00000258223	serine protease 58	NM_001001317
SPINK14	ENSG00000196800	serine peptidase inhibitor Kazal type 14 (putative)	NM_001001325
CCL4L2	ENSG00000276070	C-C motif chemokine ligand 4 like 2	NM_001001435
GDF6	ENSG00000156466	growth differentiation factor 6	NM_001001557
RNASE9	ENSG00000188655	ribonuclease A family member 9 (inactive)	NM_001001673
LCN9	ENSG00000148386	lipocalin 9	NM_001001676
LCN10	ENSG00000187922	lipocalin 10	NM_001001712
ITIH5	ENSG00000123243	inter-alpha-trypsin inhibitor heavy chain 5	NM_001001851
PAMR1	ENSG00000149090	peptidase domain containing associated with muscle regeneration 1	NM_001001991
C4B	ENSG00000224389	complement C4B (Chido blood group)	NM_001002029
DEFB108B	ENSG00000184276	defensin beta 108B	NM_001002035
KLK2	ENSG00000167751	kallikrein related peptidase 2	NM_001002231
ANXA2	ENSG00000182718	annexin A2	NM_001002857
IGFL2	ENSG00000204866	IGF like family member 2	NM_001002915
ALKAL2	ENSG00000189292	ALK and LTK ligand 2	NM_001002919
IGFL4	ENSG00000204869	IGF like family member 4	NM_001002923
FBLN2	ENSG00000163520	fibulin 2	NM_001004019
ACP7	ENSG00000183760	"acid phosphatase 7, tartrate resistant (putative)"	NM_001004318
METRNL	ENSG00000176845	"meteorin like, glial cell differentiation regulator"	NM_001004431
TAFA3	ENSG00000184599	TAFA chemokine like family member 3	NM_001004440
TAFA4	ENSG00000163377	TAFA chemokine like family member 4	NM_001005527
SEMA3B	ENSG00000012171	semaphorin 3B	NM_001005914
TAC3	ENSG00000166863	tachykinin precursor 3	NM_001006667
IGIP	ENSG00000182700	IgA inducing protein	NM_001007189
C1QTNF9B	ENSG00000205863	C1q and TNF related 9B	NM_001007537
IGFBPL1	ENSG00000137142	insulin like growth factor binding protein like 1	NM_001007563
AMY1B	ENSG00000174876	amylase alpha 1B	NM_001008218
AMY1C	ENSG00000187733	amylase alpha 1C	NM_001008219
AMY1A	ENSG00000237763	amylase alpha 1A	NM_001008221
C1QL4	ENSG00000186897	complement C1q like 4	NM_001008223
PRSS37	ENSG00000165076	serine protease 37	NM_001008270
REG3G	ENSG00000143954	regenerating family member 3 gamma	NM_001008387
MXRA7	ENSG00000182534	matrix remodeling associated 7	NM_001008528
CST9	ENSG00000173335	cystatin 9	NM_001008693
STATH	ENSG00000126549	statherin	NM_001009181
SMPDL3B	ENSG00000130768	sphingomyelin phosphodiesterase acid like 3B	NM_001009568
LUZP2	ENSG00000187398	leucine zipper protein 2	NM_001009909
SHE	ENSG00000169291	Src homology 2 domain containing E	NM_001010846
CLPSL1	ENSG00000204140	colipase like 1	NM_001010886
C6orf58	ENSG00000184530	chromosome 6 open reading frame 58	NM_001010905
C1QL3	ENSG00000165985	complement C1q like 3	NM_001010908
PNLIPRP3	ENSG00000203837	pancreatic lipase related protein 3	NM_001011709
NMS	ENSG00000204640	neuromedin S	NM_001011717
DEFB121	ENSG00000204548	defensin beta 121	NM_001011878
CLEC18B	ENSG00000140839	C-type lectin domain family 18 member B	NM_001011880
RNASE13	ENSG00000206150	ribonuclease A family member 13 (inactive)	NM_001012264
ARSI	ENSG00000183876	arylsulfatase family member I	NM_001012301
SERPINI2	ENSG00000114204	serpin family I member 2	NM_001012303
MDK	ENSG00000110492	midkine	NM_001012333
GRN	ENSG00000030582	granulin precursor	NM_001012479
GRP	ENSG00000134443	gastrin releasing peptide	NM_001012512
IL32	ENSG00000008517	interleukin 32	NM_001012631
NHLRC3	ENSG00000188811	NHL repeat containing 3	NM_001012754
KLK6	ENSG00000167755	kallikrein related peptidase 6	NM_001012964
PLAC9	ENSG00000189129	placenta associated 9	NM_001012973
RNASE10	ENSG00000182545	ribonuclease A family member 10 (inactive)	NM_001012975
PTX4	ENSG00000251692	pentraxin 4	NM_001013658
LDLRAD2	ENSG00000187942	low density lipoprotein receptor class A domain containing 2	NM_001013693
IL31	ENSG00000204671	interleukin 31	NM_001014336
CUTA	ENSG00000112514	cutA divalent cation tolerance homolog	NM_001014433
CPZ	ENSG00000109625	carboxypeptidase Z	NM_001014447
C1QTNF12	ENSG00000184163	C1q and TNF related 12	NM_001014980
GLTPD2	ENSG00000182327	glycolipid transfer protein domain containing 2	NM_001014985
PAEP	ENSG00000122133	progestagen associated endometrial protein	NM_001018048
DKK3	ENSG00000050165	dickkopf WNT signaling pathway inhibitor 3	NM_001018057
S100A13	ENSG00000189171	S100 calcium binding protein A13	NM_001024210
RNASE12	ENSG00000258436	ribonuclease A family member 12 (inactive)	NM_001024822
CSN1S1	ENSG00000126545	casein alpha s1	NM_001025104
CHI3L2	ENSG00000064886	chitinase 3 like 2	NM_001025197
CTRB2	ENSG00000168928	chymotrypsinogen B2	NM_001025200
VEGFA	ENSG00000112715	vascular endothelial growth factor A	NM_001025366
SCGB2B2	ENSG00000205209	secretoglobin family 2B member 2	NM_001025591
C6orf120	ENSG00000185127	chromosome 6 open reading frame 120	NM_001029863
RSPO4	ENSG00000101282	R-spondin 4	NM_001029871
FAM24A	ENSG00000203795	family with sequence similarity 24 member A	NM_001029888
CDNF	ENSG00000185267	cerebral dopamine neurotrophic factor	NM_001029954
NPS	ENSG00000214285	neuropeptide S	NM_001030013
KLK3	ENSG00000142515	kallikrein related peptidase 3	NM_001030047
LRRC17	ENSG00000128606	leucine rich repeat containing 17	NM_001031692
NT5DC3	ENSG00000111696	5'-nucleotidase domain containing 3	NM_001031701
CT55	ENSG00000169551	cancer/testis antigen 55	NM_001031705
RNLS	ENSG00000184719	"renalase, FAD dependent amine oxidase"	NM_001031709
IZUMO4	ENSG00000099840	IZUMO family member 4	NM_001031735
MASP1	ENSG00000127241	MBL associated serine protease 1	NM_001031849
PSG6	ENSG00000170848	pregnancy specific beta-1-glycoprotein 6	NM_001031850
MMP28	ENSG00000271447	matrix metallopeptidase 28	NM_001032278
TFPI	ENSG00000003436	tissue factor pathway inhibitor	NM_001032281
MMP19	ENSG00000123342	matrix metallopeptidase 19	NM_001032360
PLGLB1	ENSG00000183281	plasminogen like B1	NM_001032392
DEFB135	ENSG00000205883	defensin beta 135	NM_001033017
DEFB136	ENSG00000205884	defensin beta 136	NM_001033018
DEFB134	ENSG00000205882	defensin beta 134	NM_001033019
NPNT	ENSG00000168743	nephronectin	NM_001033047
CALCA	ENSG00000110680	calcitonin related polypeptide alpha	NM_001033952
SMOC1	ENSG00000198732	SPARC related modular calcium binding 1	NM_001034852
DMKN	ENSG00000161249	dermokine	NM_001035516
DEFB109B	ENSG00000206034	defensin beta 109B	NM_001037380
DEFB110	ENSG00000203970	defensin beta 110	NM_001037497
DEFB114	ENSG00000177684	defensin beta 114	NM_001037499
DEFB124	ENSG00000180383	defensin beta 124	NM_001037500
DEFB107A	ENSG00000186572	defensin beta 107A	NM_001037668
DEFB113	ENSG00000214642	defensin beta 113	NM_001037729
DEFB115	ENSG00000215547	defensin beta 115	NM_001037730
DEFB128	ENSG00000185982	defensin beta 128	NM_001037732
COL28A1	ENSG00000215018	collagen type XXVIII alpha 1 chain	NM_001037763
DEFB130A	ENSG00000232948	defensin beta 130A	NM_001037804
RSPO1	ENSG00000169218	R-spondin 1	NM_001038633
CEACAM16	ENSG00000213892	"CEA cell adhesion molecule 16, tectorial membrane component"	NM_001039213
EFEMP1	ENSG00000115380	EGF containing fibulin extracellular matrix protein 1	NM_001039348
VWA5B1	ENSG00000158816	von Willebrand factor A domain containing 5B1	NM_001039500
PRSS53	ENSG00000151006	serine protease 53	NM_001039503
IL18BP	ENSG00000137496	interleukin 18 binding protein	NM_001039659
ANGPTL4	ENSG00000167772	angiopoietin like 4	NM_001039667
CBLN3	ENSG00000139899	cerebellin 3 precursor	NM_001039771
SHBG	ENSG00000129214	sex hormone binding globulin	NM_001040
FAM3C	ENSG00000196937	FAM3 metabolism regulating signaling molecule C	NM_001040020
MLN	ENSG00000096395	motilin	NM_001040109
SPINK13	ENSG00000214510	serine peptidase inhibitor Kazal type 13	NM_001040129
SPOCK3	ENSG00000196104	"SPARC (osteonectin), cwcv and kazal like domains proteoglycan 3"	NM_001040159
ADAMTSL1	ENSG00000178031	ADAMTS like 1	NM_001040272
SPINK9	ENSG00000204909	serine peptidase inhibitor Kazal type 9	NM_001040433
DEFB131A	ENSG00000186146	defensin beta 131A	NM_001040448
ERAP1	ENSG00000164307	endoplasmic reticulum aminopeptidase 1	NM_001040458
DEFB104B	ENSG00000177023	defensin beta 104B	NM_001040702
DEFB105B	ENSG00000186599	defensin beta 105B	NM_001040703
DEFB106B	ENSG00000187082	defensin beta 106B	NM_001040704
DEFB107B	ENSG00000198129	defensin beta 107B	NM_001040705
INS-IGF2	ENSG00000129965	INS-IGF2 readthrough	NM_001042376
BPIFA3	ENSG00000131059	BPI fold containing family A member 3	NM_001042439
DEFA1B	ENSG00000240247	defensin alpha 1B	NM_001042500
SERPINA9	ENSG00000170054	serpin family A member 9	NM_001042518
LTBP4	ENSG00000090006	latent transforming growth factor beta binding protein 4	NM_001042544
MSMP	ENSG00000215183	"microseminoprotein, prostate associated"	NM_001044264
SST	ENSG00000157005	somatostatin	NM_001048
TCN1	ENSG00000134827	transcobalamin 1	NM_001062
TF	ENSG00000091513	transferrin	NM_001063
KLK5	ENSG00000167754	kallikrein related peptidase 5	NM_001077491
KLK10	ENSG00000129451	kallikrein related peptidase 10	NM_001077500
TAC4	ENSG00000176358	tachykinin precursor 4	NM_001077503
NXPE4	ENSG00000137634	neurexophilin and PC-esterase domain family member 4	NM_001077639
FAM177A1	ENSG00000151327	family with sequence similarity 177 member A1	NM_001079519
CFC1B	ENSG00000152093	"cripto, FRL-1, cryptic family 1B"	NM_001079530
ART5	ENSG00000167311	ADP-ribosyltransferase 5	NM_001079536
PGA3	ENSG00000229859	pepsinogen A3	NM_001079807
PGA4	ENSG00000229183	pepsinogen A4	NM_001079808
SPACA5B	ENSG00000171478	sperm acrosome associated 5B	NM_001079900
DMP1	ENSG00000152592	dentin matrix acidic phosphoprotein 1	NM_001079911
OC90	ENSG00000253117	otoconin 90	NM_001080399
SNED1	ENSG00000162804	"sushi, nidogen and EGF like domains 1"	NM_001080437
OTOL1	ENSG00000182447	otolin 1	NM_001080440
SERPINA11	ENSG00000186910	serpin family A member 11	NM_001080451
BTBD17	ENSG00000204347	BTB domain containing 17	NM_001080466
PRSS54	ENSG00000103023	serine protease 54	NM_001080492
VWC2L	ENSG00000174453	von Willebrand factor C domain containing 2 like	NM_001080500
CPN2	ENSG00000178772	carboxypeptidase N subunit 2	NM_001080513
LIPK	ENSG00000204021	lipase family member K	NM_001080518
SPINK8	ENSG00000229453	serine peptidase inhibitor Kazal type 8 (putative)	NM_001080525
DEFB103A	ENSG00000176797	defensin beta 103A	NM_001081551
SPAG11A	ENSG00000178287	sperm associated antigen 11A	NM_001081552
CA10	ENSG00000154975	carbonic anhydrase 10	NM_001082533
TAFA5	ENSG00000219438	TAFA chemokine like family member 5	NM_001082967
PLOD3	ENSG00000106397	"procollagen-lysine,2-oxoglutarate 5-dioxygenase 3"	NM_001084
SERPINA3	ENSG00000196136	serpin family A member 3	NM_001085
TOR2A	ENSG00000160404	torsin family 2 member A	NM_001085347
PSAPL1	ENSG00000178597	prosaposin like 1	NM_001085382
C17orf67	ENSG00000214226	chromosome 17 open reading frame 67	NM_001085430
LYPD8	ENSG00000259823	LY6/PLAUR domain containing 8	NM_001085474
AOC1	ENSG00000002726	amine oxidase copper containing 1	NM_001091
SFTPA1	ENSG00000122852	surfactant protein A1	NM_001093770
ACR	ENSG00000100312	acrosin	NM_001097
ANG	ENSG00000214274	angiogenin	NM_001097577
SCGB1C2	ENSG00000268320	secretoglobin family 1C member 2	NM_001097610
COPA	ENSG00000122218	COPI coat complex subunit alpha	NM_001098398
C16orf89	ENSG00000153446	chromosome 16 open reading frame 89	NM_001098514
MUC20	ENSG00000176945	"mucin 20, cell surface associated"	NM_001098516
PRR4	ENSG00000111215	proline rich 4	NM_001098538
HPSE	ENSG00000173083	heparanase	NM_001098540
SFTPA2	ENSG00000185303	surfactant protein A2	NM_001098668
NPW	ENSG00000183971	neuropeptide W	NM_001099456
ADCYAP1	ENSG00000141433	adenylate cyclase activating polypeptide 1	NM_001099733
SERPINE3	ENSG00000253309	serpin family E member 3	NM_001101320
ADM5	ENSG00000224420	adrenomedullin 5 (putative)	NM_001101340
IGLON5	ENSG00000142549	IgLON family member 5	NM_001101372
LIPN	ENSG00000204020	lipase family member N	NM_001102469
COL6A6	ENSG00000206384	collagen type VI alpha 6 chain	NM_001102608
NTF3	ENSG00000185652	neurotrophin 3	NM_001102654
LAMA4	ENSG00000112769	laminin subunit alpha 4	NM_001105206
DHRS7C	ENSG00000184544	dehydrogenase/reductase 7C	NM_001105571
PLA2G2C	ENSG00000187980	phospholipase A2 group IIC	NM_001105572
PRH2	ENSG00000134551	proline rich protein HaeIII subfamily 2	NM_001110213
PSG11	ENSG00000243130	pregnancy specific beta-1-glycoprotein 11	NM_001113410
C1QC	ENSG00000159189	complement C1q C chain	NM_001114101
MFGE8	ENSG00000140545	milk fat globule EGF and factor V/VIII domain containing	NM_001114614
ANGPT2	ENSG00000091879	angiopoietin 2	NM_001118887
SERPINI1	ENSG00000163536	serpin family I member 1	NM_001122752
RPTN	ENSG00000215853	repetin	NM_001122965
MAPT	ENSG00000186868	microtubule associated protein tau	NM_001123066
METTL24	ENSG00000053328	methyltransferase like 24	NM_001123364
HMSD	ENSG00000221887	histocompatibility minor serpin domain containing	NM_001123366
ADM	ENSG00000148926	adrenomedullin	NM_001124
HDGF	ENSG00000143321	heparin binding growth factor	NM_001126050
HP	ENSG00000257017	haptoglobin	NM_001126102
PROK2	ENSG00000163421	prokineticin 2	NM_001126128
VCAN	ENSG00000038427	versican	NM_001126336
TUFT1	ENSG00000143367	tuftelin 1	NM_001126337
HHIPL1	ENSG00000182218	HHIP like 1	NM_001127258
SAA2	ENSG00000134339	serum amyloid A2	NM_001127380
CPA5	ENSG00000158525	carboxypeptidase A5	NM_001127441
CPA6	ENSG00000165078	carboxypeptidase A6	NM_001127445
SPINK5	ENSG00000133710	serine peptidase inhibitor Kazal type 5	NM_001127698
PRG4	ENSG00000116690	proteoglycan 4	NM_001127708
MMP2	ENSG00000087245	matrix metallopeptidase 2	NM_001127891
FBLN7	ENSG00000144152	fibulin 7	NM_001128165
LIPM	ENSG00000173239	lipase family member M	NM_001128215
SPARCL1	ENSG00000152583	SPARC like 1	NM_001128310
SPON2	ENSG00000159674	spondin 2	NM_001128325
BSPH1	ENSG00000188334	binder of sperm protein homolog 1	NM_001128326
FSTL5	ENSG00000168843	follistatin like 5	NM_001128427
AEBP1	ENSG00000106624	AE binding protein 1	NM_001129
PATE3	ENSG00000236027	prostate and testis expressed 3	NM_001129883
GASK1A	ENSG00000144649	golgi associated kinase 1A	NM_001129908
PSG5	ENSG00000204941	pregnancy specific beta-1-glycoprotein 5	NM_001130014
CCL20	ENSG00000115009	C-C motif chemokine ligand 20	NM_001130046
ERAP2	ENSG00000164308	endoplasmic reticulum aminopeptidase 2	NM_001130140
LTBP3	ENSG00000168056	latent transforming growth factor beta binding protein 3	NM_001130144
PSG8	ENSG00000124467	pregnancy specific beta-1-glycoprotein 8	NM_001130167
HMGB2	ENSG00000164104	high mobility group box 2	NM_001130688
C14orf93	ENSG00000100802	chromosome 14 open reading frame 93	NM_001130706
CRISP1	ENSG00000124812	cysteine rich secretory protein 1	NM_001131
AFM	ENSG00000079557	afamin	NM_001133
AFP	ENSG00000081051	alpha fetoprotein	NM_001134
SPOCK2	ENSG00000107742	"SPARC (osteonectin), cwcv and kazal like domains proteoglycan 2"	NM_001134434
NXPE3	ENSG00000144815	neurexophilin and PC-esterase domain family member 3	NM_001134456
DIPK2A	ENSG00000181744	divergent protein kinase domain 2A	NM_001134470
GHRL	ENSG00000157017	ghrelin and obestatin prepropeptide	NM_001134941
ACAN	ENSG00000157766	aggrecan	NM_001135
COCH	ENSG00000100473	cochlin	NM_001135058
C1QTNF7	ENSG00000163145	C1q and TNF related 7	NM_001135170
MFAP2	ENSG00000117122	microfibril associated protein 2	NM_001135247
TGFB2	ENSG00000092969	transforming growth factor beta 2	NM_001135599
ESM1	ENSG00000164283	endothelial cell specific molecule 1	NM_001135604
PENK	ENSG00000181195	proenkephalin	NM_001135690
KCP	ENSG00000135253	kielin cysteine rich BMP regulator	NM_001135914
VWDE	ENSG00000146530	von Willebrand factor D and EGF domains	NM_001135924
POSTN	ENSG00000133110	periostin	NM_001135934
KLK11	ENSG00000167757	kallikrein related peptidase 11	NM_001136032
CLEC18A	ENSG00000157322	C-type lectin domain family 18 member A	NM_001136214
ARTN	ENSG00000117407	artemin	NM_001136215
VASH2	ENSG00000143494	vasohibin 2	NM_001136474
SERPINE2	ENSG00000135919	serpin family E member 2	NM_001136528
AGRP	ENSG00000159723	agouti related neuropeptide	NM_001138
C4orf48	ENSG00000243449	chromosome 4 open reading frame 48	NM_001141936
AMELX	ENSG00000125363	amelogenin X-linked	NM_001142
CRISP2	ENSG00000124490	cysteine rich secretory protein 2	NM_001142407
AIMP1	ENSG00000164022	aminoacyl tRNA synthetase complex interacting multifunctional protein 1	NM_001142415
CTF1	ENSG00000150281	cardiotrophin 1	NM_001142544
ADCK1	ENSG00000063761	aarF domain containing kinase 1	NM_001142545
EYS	ENSG00000188107	eyes shut homolog	NM_001142800
AMELY	ENSG00000099721	amelogenin Y-linked	NM_001143
CES5A	ENSG00000159398	carboxylesterase 5A	NM_001143685
C15orf61	ENSG00000189227	chromosome 15 open reading frame 61	NM_001143936
