Srxn1	NM_029688
Adh5	NM_001288578
Cenpv	NM_028448
Emc4	NM_026519
Fam171a2	NM_199200
Top1	NM_001413148
Jund	NM_001286944
Ndufb4	NM_026610
Spast	NM_001162870
D430019H16Rik	NM_001252508
C1qbp	NM_007573
Ccar2	NM_146055
Ptdss1	NM_008959
Rps20	NM_026147
Mfsd14a	NM_001410014
Rpl32	NM_172086
Ina	NM_146100
Ube2o	NM_173755
Cplx2	NM_001362218
Chmp5	NM_029814
Laptm4a	NM_008640
Pdzd8	NM_001033222
Mrpl51	NM_025595
Pafah1b2	NM_001357238
Prelid1	NM_025596
Gabarapl1	NM_020590
Mrps12	NM_001360250
Acot13	NM_025790
B2m	NM_009735
Ndufa4	NM_010886
Mrps26	NM_207207
Dkk3	NM_001360257
Tbca	NM_009321
Pfdn1	NM_026027
Slc39a10	NM_001356416
Dynlt1b	NM_009342
Gm13889	NM_001145034
Apoo	NM_001199337
Slc27a4	NM_011989
Rprml	NM_001033212
Basp1	NM_027395
Nudt4	NM_001358996
Dnajc18	NM_029669
Dcaf7	NM_027946
Epm2aip1	NM_175266
Ube2d2a	NM_019912
Eid2	NM_198425
Id3	NM_008321
Ppp4c	NM_001360464
Cntnap1	NM_016782
Smim13	NM_001135577
Prps1	NM_021463
Fkbp1b	NM_001378816
Ccng1	NM_009831
Cfl1	NM_007687
Pcbp1	NM_011865
Ppp4r2	NM_182939
Nicn1	NM_001364505
Cby1	NM_028634
Mtfp1	NM_026443
Pcp4	NM_008791
Stx12	NM_133887
Rps12	NM_001407441
Ppp1r21	NM_028658
Hnrnpul2	NM_001081196
Ankmy2	NM_146033
Nudt19	NM_033080
Lrrc8b	NM_001033550
Tmem70	NM_026392
Yeats4	NM_026570
Rpl4	NM_024212
Taldo1	NM_011528
Txnl1	NM_016792
Gabrd	NM_008072
Ier5	NM_010500
Tmem14c	NM_001360770
Supt6	NM_009297
Ahsa1	NM_146036
Saraf	NM_026432
Itfg1	NM_028007
Avpi1	NM_027106
Xpot	NM_001081056
Scg5	NM_009162
Cggbp1	NM_001357416
Wdr48	NM_026236
Vat1l	NM_173016
Gpx1	NM_001329527
Ube2s	NM_133777
Ddx17	NM_001040187
Lrrn3	NM_001271708
Chmp2a	NM_001360730
Paqr4	NM_023824
Rpl39	NM_026055
Ncs1	NM_019681
Cycs	NM_007808
Got2	NM_010325
Abce1	NM_015751
Purb	NM_011221
Plat	NM_008872
Camk4	NM_009793
Kif5a	NM_001039000
Klf9	NM_010638
Clic4	NM_013885
Elof1	NM_001357309
BC031181	NM_001001181
Ctps	NM_001355491
Pin1	NM_001364495
Rps7	NM_011300
Serbp1	NM_001113564
Fbxl16	NM_001164225
Vcp	NM_009503
Thumpd1	NM_145585
Adss	NM_007422
Chchd1	NM_025366
Ehd3	NM_020578
Mif	NM_010798
Mrps21	NM_001355759
Gng3	NM_010316
Prr7	NM_001030296
Rpl23	NM_022891
Rps27rt	NM_001190258
Jun	NM_010591
Slc25a5	NM_007451
Srebf2	NM_001411792
Smarcd1	NM_001411993
Rab5b	NM_011229
Maea	NM_021500
Wrnip1	NM_030215
Rps23	NM_024175
Coa5	NM_198006
Bcap31	NM_001313698
Cox5a	NM_007747
Reep5	NM_007874
Smap2	NM_133716
Prdx3	NM_007452
Rnf7	NM_001311135
Rpl35	NM_025592
Grcc10	NM_013535
Acyp2	NM_029344
Aplp1	NM_007467
Ndfip1	NM_001355749
Cox6b1	NM_025628
Ndufs6	NM_010888
Tomm5	NM_001099675
Elavl3	NM_010487
Higd1a	NM_001357837
Mien1	NM_025559
Dctn5	NM_021608
Dad1	NM_001113358
Tuba1b	NM_011654
Atp6v1c1	NM_025494
Phlda3	NM_013750
Ctxn1	NM_183315
Timm8b	NM_013897
Cisd1	NM_134007
Gm2a	NM_010299
Marf1	NM_001081154
Tmem65	NM_175212
Ptges2	NM_133783
Slc16a1	NM_009196
Odc1	NM_001409623
Irf2bpl	NM_145836
Fbll1	NM_001004147
Enho	NM_027147
Cpe	NM_013494
Eif3a	NM_010123
Rapgefl1	NM_001080925
Rbm4	NM_001290122
Gm14325	NM_001024849
Bloc1s2	NM_028607
Scarb2	NM_007644
Akirin2	NM_001007589
Exoc3	NM_177333
Ube2z	NM_172300
Gpc1	NM_016696
Cyb5b	NM_025558
Manbal	NM_026968
Ncbp1	NM_001033201
Agpat4	NM_026644
Rims4	NM_001376942
Tma7	NM_183250
Gsto1	NM_010362
Rraga	NM_178376
Derl1	NM_024207
Calr	NM_007591
Tubb3	NM_023279
Nefh	NM_010904
Pet100	NM_001195244
Fads2	NM_019699
Ado	NM_001005419
Sarnp	NM_001359403
Ak3	NM_001365071
Dact3	NM_001081655
Higd2a	NM_025933
Tmsb10	NM_001039392
Dstn	NM_019771
Hs6st1	NM_015818
Ptcd2	NM_026873
Sod2	NM_013671
Egr1	NM_007913
Efhd2	NM_025994
Fth1	NM_010239
Ndufa8	NM_026703
Lamtor5	NM_026774
