SYMBOL	ENSEMBL	GENENAME	REFSEQ
Sbsn	ENSMUSG00000046056	suprabasin	NM_001083903
Fetub	ENSMUSG00000022871	fetuin beta	NM_001083904
Gpx3	ENSMUSG00000018339	glutathione peroxidase 3	NM_001083929
Spaca5	ENSMUSG00000037167	sperm acrosome associated 5	NM_001085393
Obp2b	ENSMUSG00000079539	odorant binding protein 2B	NM_001099301
Msmp	ENSMUSG00000078719	"microseminoprotein, prostate associated"	NM_001099314
R3hdml	ENSMUSG00000078949	R3H domain containing-like	NM_001099331
Npw	ENSMUSG00000071230	neuropeptide W	NM_001099664
Scgb1c1	ENSMUSG00000038801	"secretoglobin, family 1C, member 1"	NM_001099742
Wfikkn1	ENSMUSG00000071192	"WAP, FS, Ig, KU, and NTR-containing protein 1"	NM_001100454
Prlh	ENSMUSG00000090550	prolactin releasing hormone	NM_001101647
Kng1	ENSMUSG00000022875	kininogen 1	NM_001102411
Col6a6	ENSMUSG00000043719	"collagen, type VI, alpha 6"	NM_001102607
Bcan	ENSMUSG00000004892	brevican	NM_001109758
Col18a1	ENSMUSG00000001435	"collagen, type XVIII, alpha 1"	NM_001109991
Apoc1	ENSMUSG00000040564	apolipoprotein C-I	NM_001110009
Prg4	ENSMUSG00000006014	"proteoglycan 4 (megakaryocyte stimulating factor, articular superficial zone protein)"	NM_001110146
Fga	ENSMUSG00000028001	fibrinogen alpha chain	NM_001111048
Igf1	ENSMUSG00000020053	insulin-like growth factor 1	NM_001111274
Ngf	ENSMUSG00000027859	nerve growth factor	NM_001112698
Col2a1	ENSMUSG00000022483	"collagen, type II, alpha 1"	NM_001113515
Adamtsl5	ENSMUSG00000043822	ADAMTS-like 5	NM_001113548
Ltbp4	ENSMUSG00000040488	latent transforming growth factor beta binding protein 4	NM_001113549
Ucma	ENSMUSG00000026668	upper zone of growth plate and cartilage matrix associated	NM_001113558
Chrdl1	ENSMUSG00000031283	chordin-like 1	NM_001114385
Fcgbp	ENSMUSG00000047730	Fc fragment of IgG binding protein	NM_001122603
Pla2g5	ENSMUSG00000041193	"phospholipase A2, group V"	NM_001122954
Cela3a	ENSMUSG00000078520	"chymotrypsin-like elastase family, member 3A"	NM_001126318
Ism1	ENSMUSG00000074766	"isthmin 1, angiogenesis inhibitor"	NM_001126490
Acrbp	ENSMUSG00000072770	proacrosin binding protein	NM_001127340
Ccn6	ENSMUSG00000062074	cellular communication network factor 6	NM_001127376
Aadacl2	ENSMUSG00000091376	arylacetamide deacetylase like 2	NM_001128091
Tcn2	ENSMUSG00000020432	transcobalamin 2	NM_001130458
Nucb2	ENSMUSG00000030659	nucleobindin 2	NM_001130479
Nxpe3	ENSMUSG00000075033	"neurexophilin and PC-esterase domain family, member 3"	NM_001134457
Il34	ENSMUSG00000031750	interleukin 34	NM_001135100
C1qtnf7	ENSMUSG00000061535	C1q and tumor necrosis factor related protein 7	NM_001135172
Nmi	ENSMUSG00000026946	N-myc (and STAT) interactor	NM_001141948
Cfb	ENSMUSG00000090231	complement factor B	NM_001142706
Hhla1	ENSMUSG00000072511	HERV-H LTR-associating 1	NM_001145096
Brinp3	ENSMUSG00000035131	bone morphogenetic protein/retinoic acid inducible neural specific 3	NM_001145807
Muc20	ENSMUSG00000035638	mucin 20	NM_001145874
Lgals3	ENSMUSG00000050335	"lectin, galactose binding, soluble 3"	NM_001145953
Il36rn	ENSMUSG00000026983	interleukin 36 receptor antagonist	NM_001146087
Smoc1	ENSMUSG00000021136	SPARC related modular calcium binding 1	NM_001146217
Rnls	ENSMUSG00000071573	"renalase, FAD-dependent amine oxidase"	NM_001146342
Itih4	ENSMUSG00000021922	"inter alpha-trypsin inhibitor, heavy chain 4"	NM_001159299
Lgals9	ENSMUSG00000001123	"lectin, galactose binding, soluble 9"	NM_001159301
Rbp4	ENSMUSG00000024990	"retinol binding protein 4, plasma"	NM_001159487
Tnfsf13	ENSMUSG00000089669	"tumor necrosis factor (ligand) superfamily, member 13"	NM_001159505
Igfbp7	ENSMUSG00000036256	insulin-like growth factor binding protein 7	NM_001159518
Dpp4	ENSMUSG00000035000	dipeptidylpeptidase 4	NM_001159543
Rnpep	ENSMUSG00000041926	arginyl aminopeptidase (aminopeptidase B)	NM_001159624
Ly96	ENSMUSG00000025779	lymphocyte antigen 96	NM_001159711
Ccl20	ENSMUSG00000026166	chemokine (C-C motif) ligand 20	NM_001159738
Alkal2	ENSMUSG00000054204	ALK and LTK ligand 2	NM_001159743
Cgref1	ENSMUSG00000029161	cell growth regulator with EF hand domain 1	NM_001160149
Ssc4d	ENSMUSG00000029699	"scavenger receptor cysteine rich family, 4 domains"	NM_001160366
Wfdc9	ENSMUSG00000074594	WAP four-disulfide core domain 9	NM_001160414
Optc	ENSMUSG00000010311	opticin	NM_001160420
F8	ENSMUSG00000031196	coagulation factor VIII	NM_001161373
Aoc1	ENSMUSG00000029811	"amine oxidase, copper-containing 1"	NM_001161621
Ang	ENSMUSG00000072115	"angiogenin, ribonuclease, RNase A family, 5"	NM_001161731
Mfap2	ENSMUSG00000060572	microfibrillar-associated protein 2	NM_001161799
Wfdc11	ENSMUSG00000078940	WAP four-disulfide core domain 11	NM_001161806
Efna1	ENSMUSG00000027954	ephrin A1	NM_001162425
Rnase10	ENSMUSG00000021872	"ribonuclease, RNase A family, 10 (non-active)"	NM_001162863
Igsf10	ENSMUSG00000036334	"immunoglobulin superfamily, member 10"	NM_001162884
Megf6	ENSMUSG00000057751	multiple EGF-like-domains 6	NM_001162977
Col4a5	ENSMUSG00000031274	"collagen, type IV, alpha 5"	NM_001163155
Sfta2	ENSMUSG00000090509	surfactant associated 2	NM_001163194
Gdf1	ENSMUSG00000087408	growth differentiation factor 1	NM_001163282
Ptx4	ENSMUSG00000044172	pentraxin 4	NM_001163416
Pradc1	ENSMUSG00000030008	protease-associated domain containing 1	NM_001163427
Cd160	ENSMUSG00000038304	CD160 antigen	NM_001163496
Mmrn1	ENSMUSG00000054641	multimerin 1	NM_001163507
Prl	ENSMUSG00000021342	prolactin	NM_001163530
Prr27	ENSMUSG00000002240	proline rich 27	NM_001163551
Nps	ENSMUSG00000073804	neuropeptide S	NM_001163611
Wnt7b	ENSMUSG00000022382	"wingless-type MMTV integration site family, member 7B"	NM_001163633
Nucb1	ENSMUSG00000030824	nucleobindin 1	NM_001163662
Ntf3	ENSMUSG00000049107	neurotrophin 3	NM_001164034
Mmp19	ENSMUSG00000025355	matrix metallopeptidase 19	NM_001164197
Loxl4	ENSMUSG00000025185	lysyl oxidase-like 4	NM_001164311
Chadl	ENSMUSG00000063765	chondroadherin-like	NM_001164320
Efemp2	ENSMUSG00000024909	epidermal growth factor-containing fibulin-like extracellular matrix protein 2	NM_001164352
Iglon5	ENSMUSG00000013367	IgLON family member 5	NM_001164518
Egfl7	ENSMUSG00000026921	EGF-like domain 7	NM_001164564
Soga1	ENSMUSG00000055485	"suppressor of glucose, autophagy associated 1"	NM_001164663
Klk6	ENSMUSG00000050063	kallikrein related-peptidase 6	NM_001164696
Il33	ENSMUSG00000024810	interleukin 33	NM_001164724
Adamts20	ENSMUSG00000022449	"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 20"	NM_001164785
Scg3	ENSMUSG00000032181	secretogranin III	NM_001164790
Tshb	ENSMUSG00000027857	"thyroid stimulating hormone, beta subunit"	NM_001165939
Fndc7	ENSMUSG00000045326	fibronectin type III domain containing 7	NM_001165965
Pglyrp4	ENSMUSG00000042250	peptidoglycan recognition protein 4	NM_001165968
Dmkn	ENSMUSG00000060962	dermokine	NM_001166173
Serpina11	ENSMUSG00000063232	"serine (or cysteine) peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 11"	NM_001166350
Fgf8	ENSMUSG00000025219	fibroblast growth factor 8	NM_001166361
F13a1	ENSMUSG00000039109	"coagulation factor XIII, A1 subunit"	NM_001166391
Spock1	ENSMUSG00000056222	"sparc/osteonectin, cwcv and kazal-like domains proteoglycan 1"	NM_001166463
Zpbp2	ENSMUSG00000017195	zona pellucida binding protein 2	NM_001166494
Pate3	ENSMUSG00000094995	prostate and testis expressed 3	NM_001167592
Pate1	ENSMUSG00000091215	prostate and testis expressed 1	NM_001167677
Frem3	ENSMUSG00000042353	Fras1 related extracellular matrix protein 3	NM_001167898
Col6a5	ENSMUSG00000091345	"collagen, type VI, alpha 5"	NM_001167923
Tinagl1	ENSMUSG00000028776	tubulointerstitial nephritis antigen-like 1	NM_001168333
Spink13	ENSMUSG00000073551	"serine peptidase inhibitor, Kazal type 13"	NM_001168423
Endou	ENSMUSG00000022468	"endonuclease, polyU-specific"	NM_001168693
Aspn	ENSMUSG00000021388	asporin	NM_001172481
Thpo	ENSMUSG00000022847	thrombopoietin	NM_001173505
Tfpi	ENSMUSG00000027082	tissue factor pathway inhibitor	NM_001177319
Klk11	ENSMUSG00000067616	kallikrein related-peptidase 11	NM_001177373
Spint3	ENSMUSG00000074596	"serine peptidase inhibitor, Kunitz type, 3"	NM_001177401
Eddm13	ENSMUSG00000053367	epididymal protein 13	NM_001177416
Otogl	ENSMUSG00000091455	otogelin-like	NM_001177567
Odaph	ENSMUSG00000096035	odontogenesis associated phosphoprotein	NM_001177577
Zpbp	ENSMUSG00000020193	zona pellucida binding protein	NM_001185153
Vegfb	ENSMUSG00000024962	vascular endothelial growth factor B	NM_001185164
Igll1	ENSMUSG00000075370	immunoglobulin lambda-like polypeptide 1	NM_001190325
Adamtsl3	ENSMUSG00000070469	ADAMTS-like 3	NM_001190374
Amy2b	ENSMUSG00000083079	amylase 2b	NM_001190403
Dcn	ENSMUSG00000019929	decorin	NM_001190451
Prss51	ENSMUSG00000052099	"protease, serine 51"	NM_001193631
Ccer2	ENSMUSG00000096257	coiled-coil glutamate-rich protein 2	NM_001195091
Islr	ENSMUSG00000037206	immunoglobulin superfamily containing leucine-rich repeat	NM_001195431
Alkal1	ENSMUSG00000087247	ALK and LTK ligand 1	NM_001195732
Vit	ENSMUSG00000024076	vitrin	NM_001197028
Postn	ENSMUSG00000027750	"periostin, osteoblast specific factor"	NM_001198765
Frem1	ENSMUSG00000059049	Fras1 related extracellular matrix protein 1	NM_001198811
Coch	ENSMUSG00000020953	cochlin	NM_001198835
Gask1a	ENSMUSG00000038233	golgi associated kinase 1A	NM_001199927
Serpine3	ENSMUSG00000091155	"serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 3"	NM_001199945
Crisp2	ENSMUSG00000023930	cysteine-rich secretory protein 2	NM_001204071
C1qtnf1	ENSMUSG00000017446	C1q and tumor necrosis factor related protein 1	NM_001204129
C1qtnf3	ENSMUSG00000058914	C1q and tumor necrosis factor related protein 3	NM_001204134
C1qtnf6	ENSMUSG00000022440	C1q and tumor necrosis factor related protein 6	NM_001204152
Spp1	ENSMUSG00000029304	secreted phosphoprotein 1	NM_001204201
Retn	ENSMUSG00000012705	resistin	NM_001204959
Acr	ENSMUSG00000022622	acrosin prepropeptide	NM_001205049
Pnoc	ENSMUSG00000045731	prepronociceptin	NM_001205075
Papln	ENSMUSG00000021223	"papilin, proteoglycan-like sulfated glycoprotein"	NM_001205343
Lipk	ENSMUSG00000024771	"lipase, family member K"	NM_001205349
Gsn	ENSMUSG00000026879	gelsolin	NM_001206367
Gpr15lg	ENSMUSG00000096001	G protein coupled receptor 15 ligand	NM_001206684
Spx	ENSMUSG00000071112	spexin hormone	NM_001242345
F10	ENSMUSG00000031444	coagulation factor X	NM_001242368
Col6a3	ENSMUSG00000048126	"collagen, type VI, alpha 3"	NM_001243008
Sema3a	ENSMUSG00000028883	"sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3A"	NM_001243072
C7	ENSMUSG00000079105	complement component 7	NM_001243837
Tafa5	ENSMUSG00000054863	TAFA chemokine like family member 5	NM_001252310
St6gal1	ENSMUSG00000022885	"beta galactoside alpha 2,6 sialyltransferase 1"	NM_001252505
Lipi	ENSMUSG00000032948	"lipase, member I"	NM_001252513
Matn4	ENSMUSG00000016995	matrilin 4	NM_001252563
Spock3	ENSMUSG00000054162	"sparc/osteonectin, cwcv and kazal-like domains proteoglycan 3"	NM_001252620
Ecm1	ENSMUSG00000028108	extracellular matrix protein 1	NM_001252653
Fstl5	ENSMUSG00000034098	follistatin-like 5	NM_001253719
Il15	ENSMUSG00000031712	interleukin 15	NM_001254747
Bmp8a	ENSMUSG00000032726	bone morphogenetic protein 8a	NM_001256019
Wnt5a	ENSMUSG00000021994	"wingless-type MMTV integration site family, member 5A"	NM_001256224
Igip	ENSMUSG00000110185	IgA inducing protein	NM_001267796
Plac9	ENSMUSG00000095304	placenta specific 9	NM_001270503
Scube1	ENSMUSG00000016763	"signal peptide, CUB domain, EGF-like 1"	NM_001271472
Fgfbp1	ENSMUSG00000048373	fibroblast growth factor binding protein 1	NM_001271616
Pgf	ENSMUSG00000004791	placental growth factor	NM_001271705
Wnt5b	ENSMUSG00000030170	"wingless-type MMTV integration site family, member 5B"	NM_001271757
C8g	ENSMUSG00000015083	"complement component 8, gamma polypeptide"	NM_001271777
Agrp	ENSMUSG00000005705	agouti related neuropeptide	NM_001271806
Fn1	ENSMUSG00000026193	fibronectin 1	NM_001276408
Lcn6	ENSMUSG00000045684	lipocalin 6	NM_001276448
Ahsg	ENSMUSG00000022868	alpha-2-HS-glycoprotein	NM_001276449
Fgf5	ENSMUSG00000029337	fibroblast growth factor 5	NM_001277268
Adck1	ENSMUSG00000021044	aarF domain containing kinase 1	NM_001277296
Adamts2	ENSMUSG00000036545	"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 2"	NM_001277305
Lamb3	ENSMUSG00000026639	"laminin, beta 3"	NM_001277928
Apoc2	ENSMUSG00000002992	apolipoprotein C2	NM_001277944
Chrd	ENSMUSG00000006958	chordin	NM_001278041
Pomc	ENSMUSG00000020660	pro-opiomelanocortin-alpha	NM_001278581
Tnf	ENSMUSG00000024401	tumor necrosis factor	NM_001278601
S100a9	ENSMUSG00000056071	S100 calcium binding protein A9 (calgranulin B)	NM_001281852
Aoah	ENSMUSG00000021322	acyloxyacyl hydrolase	NM_001281854
Sftpb	ENSMUSG00000056370	surfactant associated protein B	NM_001282071
Artn	ENSMUSG00000028539	artemin	NM_001284191
Cck	ENSMUSG00000032532	cholecystokinin	NM_001284508
Chit1	ENSMUSG00000026450	chitinase 1 (chitotriosidase)	NM_001284524
Wnt11	ENSMUSG00000015957	"wingless-type MMTV integration site family, member 11"	NM_001285792
Podn	ENSMUSG00000028600	podocan	NM_001285956
Csn1s1	ENSMUSG00000070702	casein alpha s1	NM_001286015
Csn2	ENSMUSG00000063157	casein beta	NM_001286020
Angpt1	ENSMUSG00000022309	angiopoietin 1	NM_001286062
Lox	ENSMUSG00000024529	lysyl oxidase	NM_001286181
Ghrl	ENSMUSG00000064177	ghrelin	NM_001286404
Pdyn	ENSMUSG00000027400	prodynorphin	NM_001286502
Olfm3	ENSMUSG00000027965	olfactomedin 3	NM_001286750
Pla2g12a	ENSMUSG00000027999	"phospholipase A2, group XIIA"	NM_001286948
Tspear	ENSMUSG00000069581	thrombospondin type laminin G domain and EAR repeats	NM_001287074
Sct	ENSMUSG00000038580	secretin	NM_001287171
Nppb	ENSMUSG00000029019	natriuretic peptide type B	NM_001287348
Hgf	ENSMUSG00000028864	hepatocyte growth factor	NM_001289458
Egflam	ENSMUSG00000042961	"EGF-like, fibronectin type III and laminin G domains"	NM_001289496
Cpa6	ENSMUSG00000042501	carboxypeptidase A6	NM_001289497
Scgb3a2	ENSMUSG00000038791	"secretoglobin, family 3A, member 2"	NM_001289643
Apoc3	ENSMUSG00000032081	apolipoprotein C-III	NM_001289755
Spink2	ENSMUSG00000053030	"serine peptidase inhibitor, Kazal type 2"	NM_001289764
Itih6	ENSMUSG00000087149	inter-alpha-trypsin inhibitor heavy chain family member 6	NM_001289875
Ism2	ENSMUSG00000050671	isthmin 2	NM_001290302
Col12a1	ENSMUSG00000032332	"collagen, type XII, alpha 1"	NM_001290308
Il11	ENSMUSG00000004371	interleukin 11	NM_001290423
Vstm2a	ENSMUSG00000048834	V-set and transmembrane domain containing 2A	NM_001290539
C8a	ENSMUSG00000035031	"complement component 8, alpha polypeptide"	NM_001290645
Insl5	ENSMUSG00000066090	insulin-like 5	NM_001290648
Col9a1	ENSMUSG00000026147	"collagen, type IX, alpha 1"	NM_001290691
Mgat4a	ENSMUSG00000026110	"mannoside acetylglucosaminyltransferase 4, isoenzyme A"	NM_001290801
Sparc	ENSMUSG00000018593	secreted acidic cysteine rich glycoprotein	NM_001290817
Pla2g10	ENSMUSG00000022683	"phospholipase A2, group X"	NM_001291009
Il21	ENSMUSG00000027718	interleukin 21	NM_001291041
Bpifa3	ENSMUSG00000027482	"BPI fold containing family A, member 3"	NM_001291079
Asgr1	ENSMUSG00000020884	asialoglycoprotein receptor 1	NM_001291131
Emilin3	ENSMUSG00000050700	elastin microfibril interfacer 3	NM_001291145
Pcsk6	ENSMUSG00000030513	proprotein convertase subtilisin/kexin type 6	NM_001291184
Nmb	ENSMUSG00000025723	neuromedin B	NM_001291280
Chrdl2	ENSMUSG00000030732	chordin-like 2	NM_001291320
Art5	ENSMUSG00000070424	ADP-ribosyltransferase 5	NM_001291354
Aebp1	ENSMUSG00000020473	AE binding protein 1	NM_001291857
Cfd	ENSMUSG00000061780	complement factor D (adipsin)	NM_001291915
Tuft1	ENSMUSG00000005968	tuftelin 1	NM_001293728
Apela	ENSMUSG00000079042	apelin receptor early endogenous ligand	NM_001297554
Nrn1l	ENSMUSG00000044287	neuritin 1-like	NM_001301174
Ctf1	ENSMUSG00000042340	cardiotrophin 1	NM_001301282
