Anp32b	NM_130889
Ank	NM_020332
Taco1	NM_027346
Ccnk	NM_009832
Ube2g1	NM_025985
Fam162a	NM_027342
Psma6	NM_001310583
Lgalsl	NM_173752
Narf	NM_026272
Padi2	NM_008812
Ankrd9	NM_001361916
Rps21	NM_001355516
Kcna7	NM_010596
Etf1	NM_144866
Idh3g	NM_001356356
Acot13	NM_025790
H19	NM_023123
Gpc1	NM_016696
Myl12a	NM_001357820
Art1	NM_001411982
Pnpla2	NM_001163689
Glo1	NM_001113560
Tmem59	NM_029565
Ctdnep1	NM_026017
Atp5d	NM_001347092
Stard7	NM_001362684
Yipf7	NM_023784
Tmem14c	NM_001360770
Sh3bgr	NM_015825
Fez2	NM_001285940
Sgcb	NM_011890
H1f0	NM_008197
D8Ertd738e	NM_001007571
Srrm2	NM_001368687
Msrb3	NM_001406399
Mcl1	NM_008562
Rps9	NM_029767
Acyp2	NM_029344
Ik	NM_011879
Canx	NM_001110499
Dlst	NM_030225
Setd7	NM_080793
Ube2r2	NM_026275
Nmrk2	NM_027120
Hcfc1r1	NM_001414380
Ctsd	NM_009983
Gpam	NM_001356285
Amd1	NM_009665
Nfix	NM_001081981
Oaz1	NM_001301034
Tmem65	NM_175212
Clcn1	NM_001363712
Psma4	NM_001409691
Ak1	NM_001198790
Vldlr	NM_001161420
Mrfap1	NM_026242
Acaa2	NM_177470
Ndufa9	NM_025358
Snta1	NM_009228
Bckdk	NM_009739
Rab1b	NM_029576
Ndufc2	NM_024220
Tsc22d3	NM_001077364
Rbbp7	NM_009031
Dennd4b	NM_001356483
Myot	NM_001033621
Eif4ebp2	NM_010124
Ssr3	NM_026155
Sar1a	NM_001358487
Ndufb5	NM_025316
Pptc7	NM_177242
Dusp3	NM_028207
Usp25	NM_013918
Cct5	NM_001348035
Stt3b	NM_024222
Cisd3	NM_001085500
Ghitm	NM_001199122
Chp1	NM_019769
Prdx5	NM_001358444
Tcap	NM_011540
Bin1	NM_001083334
Mdh1	NM_001316675
Egln1	NM_001363475
Atp5h	NM_027862
Cryab	NM_001289782
Fkbp4	NM_010219
Ndufb10	NM_026684
Col4a2	NM_009932
Park7	NM_020569
Lonp1	NM_028782
Pdpr	NM_198308
Myom2	NM_001414182
Neb	NM_010889
Rbm38	NM_019547
Rpl7	NM_011291
Rmnd5a	NM_001355745
Cisd1	NM_134007
Smpx	NM_001252591
Rps3a1	NM_016959
Pvalb	NM_001330686
Klhl33	NM_001166651
Sf3b2	NM_001362454
Epn1	NM_001252454
Pdk4	NM_013743
Tmod4	NM_016712
Fmod	NM_021355
Bsg	NM_001077184
Pdk2	NM_001361915
Hsbp1	NM_024219
Snx3	NM_017472
Ndufc1	NM_025523
Psmd8	NM_026545
Ctbp1	NM_001198859
Fyco1	NM_001110253
Calm3	NM_007590
Eif1	NM_011508
Ipo5	NM_001360602
Fastk	NM_023229
Dld	NM_007861
Tmod1	NM_021883
Trap1	NM_026508
Rps11	NM_013725
Abcf2	NM_001190443
Stip1	NM_016737
Ubqln4	NM_001411427
Mapk14	NM_001168508
Gabarap	NM_019749
Ubac1	NM_001362681
Atp5j	NM_001302213
Rab6a	NM_001163663
Ppp1ca	NM_031868
Hspa8	NM_001364480
Dnaja2	NM_019794
Rab18	NM_001278447
Flnc	NM_001081185
Asb14	NM_001170748
Ndufv1	NM_133666
Myf6	NM_008657
Pfn2	NM_019410
Tead1	NM_001166584
Smtnl2	NM_177776
Bod1	NM_001024919
Cox14	NM_183256
Cox7a2l	NM_001159529
Syngr2	NM_009304
Cwc15	NM_023153
Cdc42	NM_001243769
Atp2a1	NM_007504
Prdx1	NM_011034
Psme4	NM_134013
Pde4dip	NM_001039376
Psmb2	NM_011970
Eef1a1	NM_010106
Mrpl16	NM_025606
Mrps23	NM_001291270
Nrap	NM_001286552
Col4a1	NM_009931
Cenpb	NM_007682
Atp5e	NM_025983
Cacna2d1	NM_001110843
Calm2	NM_001355703
Vegfa	NM_001025250
Speg	NM_001085370
Pfn1	NM_011072
Capza2	NM_007604
Acadl	NM_007381
Itgb1	NM_010578
Lars2	NM_001348167
Ppp1cb	NM_172707
Capns1	NM_009795
Pdha1	NM_008810
Herpud1	NM_001357205
Immt	NM_001253681
Adssl1	NM_007421
Ppm1b	NM_001159496
Ndufa4	NM_010886
Slc25a4	NM_007450
Hadh	NM_008212
Atp5b	NM_016774
Jph1	NM_020604
Ppp1r14c	NM_133485
Fndc5	NM_027402
Tmem242	NM_027457
Timm8b	NM_013897
Srp14	NM_009273
Ldha	NM_001136069
Map7d1	NM_001145970
Mef2d	NM_001310587
Atp1a2	NM_178405
Nfic	NM_008688
Srp68	NM_146032
Got2	NM_010325
Capzb	NM_001037761
Tnni2	NM_009405
Grsf1	NM_001098476
Rilpl1	NM_021430
Capn3	NM_001109761
Gpcpd1	NM_001042671
Synpo2l	NM_001310431
Pabpc4	NM_001356377
Kcnc4	NM_001356447
Tef	NM_017376
Spop	NM_001359107
Rplp0	NM_007475
Nampt	NM_021524
Ppp1r3c	NM_016854
Cfl2	NM_007688
Rer1	NM_001362981
Pcbp1	NM_011865
Msi2	NM_001201341
Cd36	NM_001159555
Ckm	NM_007710
Lpin1	NM_001130412
Pdlim5	NM_001190852
Uba1	NM_001136085
Hspb7	NM_013868
Tnks2	NM_001163635
Gpi1	NM_008155
Psmb4	NM_008945
Rplp1	NM_018853
Abra	NM_175456
Vezf1	NM_001402868
Fitm2	NM_173397
Hba-a1	NM_008218
Rab12	NM_024448
Fh1	NM_010209
Pfdn1	NM_026027
Mmadhc	NM_001348198
Ivns1abp	NM_001039511
Atad1	NM_026487
Cd74	NM_001042605
Ndufs7	NM_001364694
Cmbl	NM_181588
Ppp3ca	NM_001293622
Ddit4l	NM_030143
Fhl1	NM_001077361
Slc2a4	NM_001359114
Klhl24	NM_029436
Cops2	NM_001285507
Myh2	NM_001039545
Chmp4b	NM_029362
Fxr1	NM_001113188
Cap2	NM_026056
Prkaa2	NM_001356568
Pygm	NM_011224
Tma7	NM_183250
Eif4b	NM_145625
Gys1	NM_030678
Actn3	NM_013456
Cox7a2	NM_009945
Tbc1d1	NM_001289514
Mylk4	NM_001166030
Macrod1	NM_001378919
Asb5	NM_001374794
Ndufs3	NM_026688
Apobec2	NM_009694
Ddit4	NM_029083
Pcmtd1	NM_183028
Kcmf1	NM_001347231
Klhl31	NM_172925
Prnp	NM_001278256
Rps15	NM_001310726
Nedd4	NM_001039251
Lbx1	NM_010691
Twf2	NM_011876
Asb11	NM_001313737
Wdr26	NM_001403581
Rnf11	NM_013876
Acox1	NM_001271898
Ifitm3	NM_025378
Trim54	NM_021447
Prdx3	NM_007452
Gpx3	NM_001083929
Sucla2	NM_001361638
Psmc3	NM_008948
Drap1	NM_001291080
Gaa	NM_001159324
Tcea3	NM_011542
Stat5b	NM_001113563
Cct2	NM_001358767
Eci1	NM_010023
Fech	NM_001348055
Dazap2	NM_011873
Coa5	NM_198006
Chchd10	NM_175329
Pacsin3	NM_001289677
Cox6c	NM_053071
Pebp1	NM_018858
Ndufa12	NM_001364691
Rfk	NM_019437
Cox5b	NM_009942
Ogdh	NM_001252282
Polr2m	NM_001164793
Ndufb3	NM_025597
Arf1	NM_001130408
Scp2	NM_011327
Usp2	NM_001407818
Sec23a	NM_001361956
Dlat	NM_145614
Ubxn1	NM_001362044
Serpinb6a	NM_001164117
Dynlrb1	NM_001291108
Psmc6	NM_001416015
Mbd3	NM_001306143
Eif4a2	NM_001123037
Mlf2	NM_001170341
Bnip2	NM_001008238
Snapin	NM_133854
Ndufs2	NM_153064
Mrpl18	NM_026310
Shisa4	NM_175259
Ndufb6	NM_001033305
Vdac1	NM_001362693
Nek9	NM_145138
Tmem233	NM_001101546
Plin4	NM_001372234
P4hb	NM_011032
Mylk2	NM_001081044
Ndufa2	NM_010885
Clic5	NM_172621
Ldhb	NM_001302765
Nr1d2	NM_011584
Psmb6	NM_008946
Oxct1	NM_024188
Tmed2	NM_001403253
Trak1	NM_001357968
Myoz1	NM_021508
Nudt3	NM_001291046
Rhob	NM_007483
Bag3	NM_013863
Chchd1	NM_025366
Camk2g	NM_001039138
Rgs5	NM_001313705
Ehbp1l1	NM_001114595
Gpd2	NM_001145820
Cst3	NM_009976
Rpl41	NM_018860
Ldb3	NM_001039071
Gsn	NM_001206367
Hspb8	NM_030704
Ech1	NM_016772
Zdhhc5	NM_144887
Afg3l2	NM_027130
Dbi	NM_001037999
Surf4	NM_011512
Uqcrb	NM_026219
Sdhd	NM_025848
Klhl21	NM_001033352
Dcn	NM_001190451
Ndufs6	NM_010888
Mlf1	NM_001039543
Psmd6	NM_025550
Tfrc	NM_001357298
Hsp90ab1	NM_008302
Phlda3	NM_013750
Nars	NM_001142950
Klhdc3	NM_001163729
Mdh2	NM_008617
Eif3a	NM_010123
Cox6b1	NM_025628
Ankrd23	NM_001310521
Rpl4	NM_024212
S100a1	NM_011309
Kpna1	NM_001416718
Uqcr11	NM_025650
Lrrc30	NM_001033340
Cox6a2	NM_009943
Srsf5	NM_001079694
Hoxc10	NM_010462
Ip6k3	NM_173027
Hspb6	NM_001012401
Htatsf1	NM_028242
Lgals1	NM_008495
Hipk3	NM_001145824
Pbxip1	NM_146131
Ano5	NM_001271879
Anapc5	NM_001042491
Ddx5	NM_001355676
Gstm5	NM_010360
Adipor2	NM_001355692
Fam210a	NM_153794
Calm1	NM_001313934
Ube3b	NM_001331219
Tprgl	NM_026388
Clip1	NM_001291229
Zfand5	NM_009551
Csde1	NM_001161854
Tor1aip1	NM_001160018
Strn3	NM_001172098
Gas6	NM_019521
Nrep	NM_001109988
Chmp2a	NM_001360730
Cct8	NM_009840
Fzd4	NM_008055
Cuta	NM_026307
Rxra	NM_001290481
Fxyd1	NM_019503
Cd24a	NM_009846
Rps5	NM_001417226
Rabac1	NM_010261
Sgca	NM_009161
Pdlim3	NM_001374652
Ctdsp2	NM_001113470
Prkar1a	NM_001313973
Btbd1	NM_146193
Atp5j2	NM_020582
Myh1	NM_030679
Rps29	NM_009093
Col1a2	NM_007743
Mrps28	NM_025434
Lmod3	NM_001081157
Fundc2	NM_026126
Eepd1	NM_026189
Gstm1	NM_001374678
Hspa5	NM_001163434
Lmod2	NM_053098
Tuba8	NM_017379
Cox5a	NM_007747
Rab5b	NM_011229
Cpt2	NM_009949
Dynll2	NM_001168471
Psmc1	NM_008947
Btf3	NM_001170540
Adipor1	NM_001306069
Bag1	NM_001171739
Rbfox1	NM_001359723
Pno1	NM_025443
Sspn	NM_001310837
Naa50	NM_001347239
Sqstm1	NM_001290769
Map4	NM_001205330
Hsdl2	NM_001301367
Hnrnpa2b1	NM_001374745
Hdlbp	NM_001301364
Kat2b	NM_001190846
Cycs	NM_007808
Sumo2	NM_133354
Atp1b2	NM_013415
Nexn	NM_001357206
Nudt4	NM_001358996
Phka1	NM_008832
Eef1a2	NM_007906
Fxr2	NM_011814
Cdh5	NM_009868
Ndufa5	NM_001311068
Hspd1	NM_001356512
Phkg1	NM_011079
Fitm1	NM_026808
Ppp3cb	NM_001310426
Mustn1	NM_181390
Exoc6	NM_175353
Xirp2	NM_001024618
Rtn4	NM_024226
Prkab2	NM_182997
Gng5	NM_010318
Arl3	NM_001355233
Rnf187	NM_022423
Ampd1	NM_001033303
Actb	NM_007393
Cbfb	NM_001161456
Actr1a	NM_001365070
Atp6v1g1	NM_024173
Tecr	NM_027179
Paip2	NM_001357470
Cab39	NM_001355046
Ubr3	NM_001081548
Atp5g3	NM_001301721
Mfn2	NM_001285920
Chchd2	NM_024166
Zfp106	NM_009165
Mid1ip1	NM_001166635
Slc16a3	NM_001038653
Gpd1	NM_010271
Cox7a1	NM_001412271
Atl2	NM_001286647
